run_number,run_date,env,model,gamma,theta,epsilon,alpha,number_iteration,max_step,actual_run,time,score
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,LineWorld,monte_carlo_fv_on_policy,0.99,0.1,None,None,5,100000,2,1,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,LineWorld,monte_carlo_fv_on_policy,0.99,0.1,None,None,5,100000,3,1,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,LineWorld,monte_carlo_fv_on_policy,0.99,0.1,None,None,5,100000,4,1,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,LineWorld,monte_carlo_off_policy,0.99,None,0.1,None,5,100000,0,1,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,LineWorld,monte_carlo_off_policy,0.99,None,0.1,None,5,100000,1,1,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,LineWorld,monte_carlo_off_policy,0.99,None,0.1,None,5,100000,2,1,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,LineWorld,monte_carlo_off_policy,0.99,None,0.1,None,5,100000,3,1,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,LineWorld,monte_carlo_off_policy,0.99,None,0.1,None,5,100000,4,1,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,LineWorld,Q_learning_off_policy,0.99,None,0.1,0.1,5,100000,0,0,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,LineWorld,Q_learning_off_policy,0.99,None,0.1,0.1,5,100000,1,0,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,LineWorld,Q_learning_off_policy,0.99,None,0.1,0.1,5,100000,2,0,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,LineWorld,Q_learning_off_policy,0.99,None,0.1,0.1,5,100000,3,0,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,LineWorld,Q_learning_off_policy,0.99,None,0.1,0.1,5,100000,4,0,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,LineWorld,sarsa,0.99,None,0.1,0.1,5,100000,0,0,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,LineWorld,sarsa,0.99,None,0.1,0.1,5,100000,1,0,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,LineWorld,sarsa,0.99,None,0.1,0.1,5,100000,2,0,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,LineWorld,sarsa,0.99,None,0.1,0.1,5,100000,3,0,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,LineWorld,sarsa,0.99,None,0.1,0.1,5,100000,4,0,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,GridWorld,policy_iteration,0.99,0.1,None,None,5,100000,0,0,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,GridWorld,policy_iteration,0.99,0.1,None,None,5,100000,1,0,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,GridWorld,policy_iteration,0.99,0.1,None,None,5,100000,2,0,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,GridWorld,policy_iteration,0.99,0.1,None,None,5,100000,3,0,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,GridWorld,policy_iteration,0.99,0.1,None,None,5,100000,4,0,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,GridWorld,value_iteration,0.99,0.1,None,None,5,100000,0,0,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,GridWorld,value_iteration,0.99,0.1,None,None,5,100000,1,0,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,GridWorld,value_iteration,0.99,0.1,None,None,5,100000,2,0,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,GridWorld,value_iteration,0.99,0.1,None,None,5,100000,3,0,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,GridWorld,value_iteration,0.99,0.1,None,None,5,100000,4,0,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,GridWorld,monte_carlo_exploring_starts,0.99,None,None,None,5,100000,0,2,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,GridWorld,monte_carlo_exploring_starts,0.99,None,None,None,5,100000,1,2,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,GridWorld,monte_carlo_exploring_starts,0.99,None,None,None,5,100000,2,4,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,GridWorld,monte_carlo_exploring_starts,0.99,None,None,None,5,100000,3,3,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,GridWorld,monte_carlo_exploring_starts,0.99,None,None,None,5,100000,4,2,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,GridWorld,monte_carlo_fv_on_policy,0.99,0.1,None,None,5,100000,0,49,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,GridWorld,monte_carlo_fv_on_policy,0.99,0.1,None,None,5,100000,1,49,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,GridWorld,monte_carlo_fv_on_policy,0.99,0.1,None,None,5,100000,2,12,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,GridWorld,monte_carlo_fv_on_policy,0.99,0.1,None,None,5,100000,3,9,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,GridWorld,monte_carlo_fv_on_policy,0.99,0.1,None,None,5,100000,4,10,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,GridWorld,monte_carlo_off_policy,0.99,None,0.1,None,5,100000,0,19,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,GridWorld,monte_carlo_off_policy,0.99,None,0.1,None,5,100000,1,19,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,GridWorld,monte_carlo_off_policy,0.99,None,0.1,None,5,100000,2,20,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,GridWorld,monte_carlo_off_policy,0.99,None,0.1,None,5,100000,3,26,0
